Product Name(PN),  Search Result by PN  ,Company Name(CN),Search Result by CN,Designer (D),Search Result by D,Search Result by PN+CN,Search Result by PN only in HK,Search Result by PN only in China,Search Result by PN only in Amazon.com
ram and raven enamel pin,6,Thornwolf,"112,000",Nicole Dornsife,"1,440","112,000",7,7,18
cthulhu dark,"273,000",Graham Walmsley,"35,600",Graham Charles Walmsley,8,"344,000","336,000","1,060,000","16,900"
sailor moon bubblegum enamel pin,8,Sammy Stami,843,Samantha Clifton Rostami,"19,200",930,"116,000","372,000",16
trance jewel aerospace grade oligodynamic spheroid,8,Trance Metals,"2,610",Rudy Marsh,"2,970","2,740",108,155,0
kizingo toddler spoons cutlery design innovation f,7,Kizingo,"331,000",Kiyah Duffey,"7,670","327,000",943,150,4
gentle parenting memes book vol 1 be the change,77,Kirsty Lee,"143,000",Kirsty L Soo,"300,000","142,000","575,000","673,000",14
kuroi hana japanese knife collection edge of belgr,"3,580",Edge of Belgravia,"981,000",Fredrik Glenn Ostlund,2,"938,000","3,460","3,960",0
the worlds smallest garden 0,161,Nathan Littlewood & Robert Elliott,"266,000",Nathan Littlewood,"3,380",6,"1,120,000","3,460,000","16,300"
know your place essays on the working class,"76,200",Dead Ink Books,"33,900",Nathan Connolly,"67,700","128,000","670,000","1,450,000","23,900"
blasphemous dark and brutal 2d non linear platform,"2,760",The Game Kitchen,"502,000",Laura Garcia,"1,030,000","473,000","22,800","21,700",0
hand of fate ordeals,"10,400",Allen Chang,"96,000",Allen Chang,"78,900","96,600","256,000","372,000","4,180"
astropolis ii the galactic melting pot,217,Lead Adventure Miniatures,"47,200",Alexander Bews,"1,510","47,400",957,"4,630",0
invader zims mini moose hard enamel pin series,4,Chris Smith,"557,000",Christopher Smith,"1,470,000","665,000","13,700","58,000",1
termination shock,"67,400",Greg Stolze,"40,500",Greg Stolze,"34,400","132,000","794,000","294,000","1,690"
magical planet,"28,200",Imaginary art,"186,000",Amani Al Kurwi,5,"76,700","3,380,000","1,130,000","27,200"
maximum mayhem dungeons monsters of mayhem 1,257,Mark Taormino,"5,640",Mark Taormino,"21,500","5,660","71,600","110,000",61
the city clock paris design,645,La Fabrique DIY,"55,400",Claire Laure Francoise Protin,4,"56,300","888,000","1,080,000","4,340"
pcbgrip vise panavise model 201 base compatible,123,PCBGRIP,"69,500",Jason Green,"316,000","67,900",7,15,0
dacberry pro professional soundcard for raspberry,326,Oriol Sanchez,"50,800",Oriol Sanchez Antequera,170,"29,300",27,234,3
squawk squad saving new zealands native birds,147,Squawk Squad,"3,380",Fraser Harry Mcconnell,5,"3,330","18,500","27,800",5
biki first bionic wireless underwater fish drone,"22,100",Robosea,"26,200",Dianxia Xie,156,"45,300","73,000","72,600",6
jelly the smallest 4g smartphone,"12,100",Unihertz,"232,000",Zhengming He,"3,100","340,000","399,000","577,000",479
eduexo the first robotic exoskeleton kit for stem,283,Volker Bartenbach,"1,720",Volker Bartenbach,"5,620","1,850",75,69,0
uwear powerful and affordable smart watch for hike,275,UWear,"363,000",Hung Chi Yip,303,"353,000","91,600",10,445
aryzon 3d augmented reality for every smartphone,"3,880",Aryzon,"72,900",Alexander C Ceha,"29,100","72,000",566,"3,300",5
shapeheart armband heart rate tracking and easy ph,218,Shapeheart,"44,600",Antoine Charles Edouard Schwoob,1,"159,000","14,500","12,000",2
dfrobot boson a powerful building block for stem,729,DFRobot,"1,630,000",Chang Yi Shi,"6,850","1,610,000","24,700","8,360",0
imoov the ultimate ultraportable device stand,226,iMoov Team,301,Christopher Olenik,484,522,69,164,0
dreamscreen hd and 4k led backlighting for any hdm,6,Rakesh & Kate Reddy,"35,700,000",Mary Kathleen Reddy,137,3,"9,780","11,500",64
seed turntable quality power and design in one set,101,HYM Seed Audio,561,Matthew Tso,"4,840","1,540",9,7,568
acpd drum kit and game the best way to learn to pl,228,WIFO CORPORATION,"6,350",Jeonghyun  Kim,"25,900","1,400",6,6,22
cosmo connected the first connected brake light,197,Cosmo Connected,"57,100",Frédéric Metge,0,"59,900","473,000","220,000",591
bladen brinner andra aret,110,Lisa Bjärbo & Johanna Lindbäck,"505,000",Brita Lisa Magdalena Bjaerbo,10,227,"18,300","19,900",0
lexies village the story of a new kind of family,65,Natalie Lovett,"4,790",Natalie Kim Lovett,6,"17,600","220,000","180,000",313
degree continuous in ear thermometer for children,"1,580",Dr. Ing. Johannes Kreuzer,343,Johannes Kreuzer,"18,700","1,780","78,400","121,000",138
foldio3 take bigger ideas,"4,730",orange monkie,"56,400",YONGSU CHO,"2,500","56,600",104,"3,540",20
good love the second album from daniel duke,49,Daniel Duke,"98,500",Daniel Duke,"66,300","98,400","391,000","372,000","10,400"
claudia toffano hand embroidered bridal gowns,199,Claudia Toffano,"1,230",Claudia Elena Toffano Huguenin,9,"1,260",131,248,0
norsaga odds and endings expansion,701,Meromorph Games,"1,110",Matthew Bishop,"98,200","1,140",171,92,0
turing tumble gaming on a mechanical computer,"3,240",Paul Boswell,"223,000",Paul Boswell,"34,400","221,000","550,000","835,000","1,020"
gruff rage of the trolls,"11,000",Studio Woe,"20,700",Arthur Critchfield,437,"21,500","19,300",8,1
antagonism learn it in 180 seconds play it everywh,100,stephane.p ~ BigEyes Games,2,Stephane Gerard Perriard,"20,700",98,"104,000","456,000",7
the trust sketchbook a reflective space to explore,59,Julian Stodd,"73,600",Julian Marcus A Stodd,"25,600","74,200","281,000","948,000",4
emma goes to school,"22,700",Kristin Pack,"2,060",Kristin Pack,"5,330","8,020","767,000","1,310,000","23,000"
the marcel perez collection volume 2,264,Ben Model,"103,000",Ben Model,"91,000","102,000","570,000","280,000",67
polyamor accessories to put feeling into bathrooms,75,Stage Left : Marc & Patrick Pearce,"1,100,000",Laurent Marc  Pearce,2,5,"103,000","218,000","2,380"
goduo speakers worlds coolest magnetic wireless sp,408,KNZ Technology,"4,660",Lingbin Kong,"4,580","4,850",387,762,30
sehen one second to react and keep riding the bike,308,SEHEN,"429,000,000",Jisabel Galvan,8,"439,000,000","70,600","30,800",19
zombicide green horde,"43,800",CMON,"8,370,000",David Doust,"8,840","8,180,000","33,300","17,800",32
free roll machined gamers dice,124,SPIEL Designs: Michael Singletary (deleted),1,(name not available),"937,000",119,"353,000","716,000",247
underneath it all nude portraits exploring mental,6,emma,"531,000,000",Emma Louise Harrison,"10,400","533,000,000","1,570,000","4,750,000",175
digitsole smartshoe the worlds first intelligent s,235,Digitsole Smartshoe,"33,400",Chris Olenik ,"9,890","33,800",998,"6,770",0
magpie the smartest truly global gps tracker aroun,"3,510",Magpie,"20,300,000",Raul  Oaida,"21,500","20,100,000",7,"85,500",13
fall in new england kenneth fuchs composer,5,David H. Vaughan,"5,610",David H. Vaughan,"11,900","5,540","134,000","141,000",36
the scrooge mystery a feature duckumentary,200,Morgann Gicquel,"1,280",Morgann Francois Gicquel,203,"1,390",342,94,0
smartkase worlds 1st mobile case with a built in t,8,Fuzure Innovations LLC.,"4,420",Chandler Copenhaver,"1,160","4,190",8,"1,420",4
kat the legend of gnawbonia,65,Nick White,"357,000",Nickolas White,"6,610","357,000",7,33,0
creature studio atlanta,109,Jenn & Ray Jones,"46,800,000",Jennifer Jones,"1,940,000",73,"120,000","171,000",337
oh beehive,"17,800",G. Howlett,"79,700",Gerald Howlett,566,"48,200","422,000","204,000","2,510"
pigaone experience the best balance activation foo,137,Sandra Tremblay,"56,800",Sandra Tremblay,"18,200","56,600",213,408,0
savi sleek stylish bracelet that holds your hair t,438,Terry Leon,"133,000",Carl Jarecki,442,"134,000","45,500","28,700",9
first course training for professional kitchen job,7,FoodWorks Madison,"1,330",Matthew Feifarek,74,"1,380","559,000","1,070,000","27,800"
camila meza and the nectar orchestra recording an,68,Camila Meza,"62,000",Camila Meza,"55,000","195,000","28,800","30,100",0
art by dada,312,Dada,"185,000,000",Amanda Lee,"2,740,000","183,000,000","906,000","549,000","14,200"
the many adventures of jo jo and ru bear a childre,7,Derik Allen Roberts,82,DERIK ROBERTS,"1,690",83,"1,180,000","115,000","2,130"
flow sleek minimalistic fountain pen,158,Oksana Cheban (deleted),153,Mark Cheban,478,166,"1,220,000","274,000",75
widow return to spider island,173,Mike Wolfer,"408,000",Mike Wolfer,"53,800","56,500","458,000","112,000",292
visage a short film,5,Jackson Tobiska,833,Jackson  Tobiska,370,883,"145,000","74,600","1,400"
help vaccine go to the fringe,4,Ava Davies,"7,740",Ava Aislinn Shirley Davies,"23,700","7,820","137,000","541,000",141
softasvulvet illustration prints and store launch,4,Rheanna,"461,000",Rheanna Olson,124,"459,000",32,38,0
wasserturm pop up bar,107,Marcel,"194,000,000",Marcel Boettner,35,"193,000,000","57,300",8,0
spin dice,"9,450",Alien Lab,"40,000",Israel Benitez,"141,000","50,600","109,000","638,000","20,100"
endless inspiration for artists createures drawing,8,P.E. Robinson,"23,500",Paul Robinson,"10,200,000","76,100","1,670,000","3,520,000","2,920"
ash of gods,"468,000",AurumDust Studio,"3,860",Michael Shariff,"2,160","933,000","1,490,000","301,000","13,600"
tony goffredi solo ep life is,"468,000",Tony Goffredi,"2,020",Anthony Goffredi,133,"2,050",5,308,0
nostalgia la flotta nomade monad system,346,Hive Division,"157,000",Giacomo Talamini,"19,400","155,000",94,106,0
basic man life changing basics for under 20,3,Basic MAN,"143,000",Kunal  Parikh,"20,900","149,000","640,000","1,610,000","71,900"
the undress version 3,"3,960","The Undress, inc.","2,350",Dennis Caco,"3,930","2,990","132,000","229,000","4,280"
aegis super combining robot tactics,236,Breeze Grigas,"2,780",Breeze Grigas,"2,600","1,280","93,300","69,300",8
20000 and 1 stone,9,Asociacion Sta Leocadia,82,Luis Gerardo Garcia Castrillo Riesgo,86,935,"842,000","1,990,000","37,300"
swim magazine issue 01 human nature,6,Filthy Pyjamas Studio,"1,130",Archie  Nock,194,"1,080","253,000","406,000","4,450"
sketchbook monochrome rainbow vol 25,8,Akije,"71,100",Jeremy Frederic Didier Andre Diguerre,"1,270","69,900","90,300",7,5
the animated brain mental health in the animation,175,Kiernan Sjursen Lien,"39,500",Kirsten Sjursen Lien,"11,400","40,200","377,000","209,000",202
iunu,"206,000",LudiCreations,"78,900",Iraklis Constadinos Grous,2,"295,000","61,300","18,600",110
ahead turn any helmet into a smart helmet,400,analogue plus,"20,200",Dohyung Kook,99,"52,400","159,000","7,550,000","8,130"
mystic mondays tarot cards,579,Grace Duong,"27,500",Grace Duong,"27,100","28,500","165,000","343,000",220
meet waul the worlds 1st ergonomic pet carrier,272,Iuliia Iuvchenko,121,Iuliia Iuvchenko,121,325,"17,700","12,600",4
fruit and sea turtles enamel pin collection,2,Sarah,"825,000,000",Sarah Heidi Lafeuil,1,"827,000,000","526,000","1,550,000",117
bobby bizz the best business briefcase and backpac,"9,540",XD Design,"2,170,000",Alessandro Francesco Maria Van Hellenberg Hubar,10,"2,260,000","167,000","106,000",95
sausage dog enamel pin,"31,100",Things by us,"355,000",Abigail Sinclair,"16,500","356,000","214,000","214,000",80
a unique swiss made automatic watch without luxury,70,Tate Wade,"21,500",Stephane Roesli,7,"21,900","760,000","331,000","31,900"
donald j trump a book of tweets,9,Jeffrey Sun,"44,800",Jeffrey Sun,"15,300","51,000","271,000","149,000","1,560"
amazing dice cases for daring adventurers,199,"Blueshift Nine, LLC.",902,Theodore Cory,"2,290","1,050","84,200","256,000",265
last night in sweden mustafa panshiri and jens gan,126,Mustafa Panhsiri,59,Mustafa Panshiri,"14,300",138,5,8,0
hot and bothered,"1,130,000",Leah Byrd,"6,490",Leah D Byrd,454,"585,000","1,610,000","623,000","34,800"
thisisprogress a feature length documentary,88,Dale Beaumont Brown,"1,700",Dale Henry Beaumont Brown,"380,000","1,650","26,900","53,600",408
the people of yellowstone photo exhibit,9,Norm Miller,"70,800",Paul Shea,"41,100","78,100","258,000","511,000",232
kiddo stay connected to your childs wellbeing,122,Good Parents Inc.,"1,590",Jaganath Swamy,"3,300","1,600","30,900","331,000","36,800"
allwithbooks children books inspired by the mayan,207,AllWithBooks,"3,750",Sean Ansett,"17,300","3,630",2,8,0
little sunny makes kimchi with halmi,147,Jill Lee,"85,000",Jeongun Lee,140,"264,000",136,320,1
fandompins debut enamel pin do you trust me,6,FandomPins,"1,180",Joshua Saliba,"1,570","1,190",993,"6,430",1
moth fairy animals enamel pin set rabbit and cat,4,Milomoomii,"57,700",Ka Lee Cary Ho,1,"6,310","173,000","630,000",9
caged,"33,400,000",Caged,"33,900,000",June Ballinger,"6,510","58,400,000","545,000","251,000","117,000"
wopilo a revolutionary pillow that will change you,61,WOPILO,"10,300",Antoine Puechbroussou,286,"10,400",174,273,0
beastgrip dof adapter mk2 and pro series 133x anam,420,Vadym Chalenko,"13,300",Vadym Chalenko,"10,900","3,840",5,141,0
sew punk hats,7,Chris Hanley,"83,200",Christopher Hanley,"74,200","91,900","139,000","1,010,000","2,180"
vague pains,"12,600",Zachary Lemon,"8,440",Zachary Lemon,"8,010","40,000","57,700","542,000","1,110"
saola shoes sustainable kicks that kick back,118,SAOLA Shoes,"2,600",Guillaume Linossier,"1,290","1,460",18,24,0
chez nous communal dinners the cookbook,77,Daria Souvorova,"5,200",Daria  Souvorova ,"37,400","40,200","2,230","35,700",4
turbocats enamel pins,46,CHRISMCVILLAIN,"2,350",Meredith McMillen,535,"2,320",6,6,0
minimal watch prints and keyrings by eleven eleven,3,Mike Brend,683,Michael Brend,"2,120",668,"131,000","166,000","2,840"
underverse ar rpg,142,Ambidexter LLC,228,Gary Chernyak,125,564,7,"2,180",0
bean 3d printer the ultimate consumer sla 3d print,522,Kudo3D,"28,900",Kao Chih Syao,358,"154,000","1,300","158,000",9
bolt drones introducing a whole new flight experie,300,Bolt Drones,"26,000",Vay Ho,"67,600","6,610","381,000","159,000","6,120"
go glospex,137,goglospex@gltcinc.com,5,(name not available),"937,000",133,99,390,1
grime scene,"2,410,000",Tucker Antell,"13,500",Tucker Antell,"13,200","328,000","64,300","290,000","4,360"
artisanal hats made in italy finished by hand in p,6,Rossi & Rei,"71,900,000",Elisa Rossi,"105,000",7,"369,000","1,640,000","20,000"
gay designation,223,Perry Phalla,303,Perry Phalla,306,"1,770","450,000","644,000",346
the clip pen by schon dsgn write with distinction,353,Ian Schon,"5,900",ian schon,"16,000","16,000","65,700","103,000",18
knife river feature documentary,110,Justin Christopher Ayd,"8,650",Justin Ayd,313,877,"109,000","174,000",235
science enamel pins,"14,900",Gregg Brinkerhoff,574,Gregg Brinkerhoff,576,"16,000","342,000","2,090,000",516
eating up easter finishing funds,9,Sergio M Rapu,512,Sergio Rapu,"4,820","1,380","774,000","252,000","9,130"
not just for mountains merino wool daily basics,2,Silvia Echeverria,"12,500",Silvia Echeverria Echeverria,235,"12,200","137,000","306,000",179
monster taxidermy for the adventurous home,104,Invisible Rocket / Brian Colin,730,Brian Colin,"31,900",759,"480,000","146,000",72
6 gold blade limited print edition,6,Lee Harvey Roswell,"14,800",Aaron Christian Hall,122,"27,300","903,000","701,000","78,300"
cats of science,"103,000",Bryn G Jones,"3,220",Bryn Jones,"125,000","105,000","483,000","1,990,000","264,000"
creatures and creepies the monster art of charamat,3,Audre Schutte,"9,940",Audre Schutte,"9,410","2,310",7,86,0
otto diy build your own robot,"6,670",Acrobotic Industries,"14,700",Francisco Zabala,"15,900","21,500","1,510,000","307,000",28
much ado about nothing as told by dogberry and ver,5,Alayne Hopkins and Catherine Justice,2,Catherine Justice,"6,000",6,"13,800","6,190",20
torg eternity,5,Ulisses Spiele,"328,000",Timothy Brown,"465,000","384,000","40,200","51,000",68
minerva,"17,200,000",Pandasaurus Games,"104,000",Nathan McNair,"7,410","62,300,000","649,000","647,000","46,700"
ghosts of gaia two reinforcements 28mm scifi femal,1,Bad Squiddo Games,"22,400",Anne Charlotte Norman,302,"24,100","1,700",191,0
the underground story awaken your calling,61,PJ Accetturo,"3,530",Peter Accetturo,140,"3,600","1,040,000","177,000","3,710"
21 draw university,356,21 Draw,"128,000",Christopher Robert O'hara,"1,540","157,000","2,500,000","2,400,000","30,900"
supply and denim book v1,60,Supply & Denim,"1,560,000,000",Anthony Scott,"534,000",60,7,"53,200","1,360"
adventure kit oath of the frozen king,409,Absolute Tabletop,"35,900",Timothy Thomas Kearney,4,"35,900","348,000","338,000",15
western the roleplaying game,377,Åskfågeln,1,Anders Gillbring,"2,960","1,390","772,000","629,000",404
ariella short film,117,Them Pesky Kids,"31,300",Ryan James Harvey,"4,690","31,100",9,"424,000",300
love pittsburgh,"106,000",Monica Yope and Kelly Sanders,64,Monica Yope,525,"118,000","605,000","654,000","98,300"
galaxy bat plush purple edition,171,BeeZeeArt,"95,700",Brittany Zerkle,"9,240","94,900","123,000","181,000","15,000"
the christmas mummy and other carols,305,Tim Pratt,"115,000",Tim Pratt,"107,000","118,000","259,000","185,000",417
drive east the artist hub,6,"Navatman, Inc","3,320",Sahasra Sambamoorthi,"2,000","1,550","1,140,000","5,920,000","2,300,000"
escape the dark castle,"46,900",Themeborne,"22,300",Thomas Pike,"50,400","68,900","236,000","970,000","2,580"
corgi heart pin,391,Lizombie,"82,000",Chelsea Bennett,"25,300","81,400","51,300","1,050,000","2,400"
minimalist sneakers made with the finest materials,263,Lenger,"13,600,000",Thibault Boullenger,"4,350","13,700,000","1,170,000","1,520,000",463
help me become an illustration youtuber,121,Isabel Rivera,"199,000",Isabel Rivera Santos,"1,330","198,000","30,300","2,090,000",964
grimm fairy tales coloring book boxed set,"1,210",Joe Brusha,"88,200",Joe Brusha,"86,400","95,200","7,630","59,600","1,180"
surfing worldwide showing you when and where to su,8,"Thomas, Lana & Stefan","24,100,000",Stefan Werner Spiegel,91,3,"192,000","1,370,000","2,750"
iver denmark,"20,200",Kristian Asbjørn Iversen,"9,520",Kristian Asbjorn Iversen,"165,000","22,000","49,700","146,000",97
cgr feature reviews of herzog zwei and super pac m,129,Classic Game Room,"1,920,000",Mark  Bussler,"17,200","815,000",5,6,0
the advice tent a self help performance,81,Anja Notanja Sieger,"2,250",Anja Sieger,"4,640","2,420","58,000","292,000","7,380"
boost lingerie loungewear for full busted girls an,10,Sandra Mimran Smith,792,Sandra M. Smith,"110,000",779,"34,300","309,000","1,350"
rubirosa the gentlemens sneaker,151,RUBIROSA,"530,000",Flavio Agosti,"10,400","530,000",10,63,1
the oscilloscope clock v gps module 1pps autoset t,1,Howard Constantine,"2,200",Howard Constantine,"5,070","2,180",5,5,0
blackbelt 3d printer,"84,600",Stephan Schürmann / CEO BlackBelt 3D BV,1,Stephan Schürmann,6,"84,100","13,400","101,000",251
up core the smallest quadcore x86 single board com,181,UP,"16,650,000,000",Fabrizio  Del Maffeo ,"1,700","16,680,000,000","1,330","45,300",153
emme technology is not complicated,318,Salvador,"662,000,000",Salvador Hurtado Alia,359,"666,000,000","125,000","77,900",86
el ignorante documental,6,Fon Gómez,1,Alfonso Gomez Gonzalex,"27,700",7,"1,040","7,150",22
zenbivy bed the most comfortable backcountry sleep,282,Michael Glavin,"6,740",Michael Glavin,"15,400","16,300",7,78,1
disobedient enamel pin,6,Bianca (Cosmic_Cupid),2,Bianca Christina Brice,"405,000",7,9,5,5
art tools pin set for all you creative souls out t,3,Joan of Art,"504,000",Thea Louise Wilkins,6,"513,000","804,000","3,000,000","1,270"
the way you look tonight a rom com with a secret a,7,John Cerrito,"2,490",John Cerrito,"10,400","2,440","116,000","231,000",783
magnets a short film,936,Scott Jackson Arick,490,Scott Arick,"2,470","1,110","334,000","323,000","12,700"
schoolbooks and sorcery ya anthology,74,Michael M. Jones,"421,000",Michael Jones,"2,830,000","420,000","87,900","64,700","7,800"
street masters rise of the kingdom,"7,600",Blacklist Games,"24,000",Christopher Tsang,"9,370","29,600","396,000","511,000","2,200"
freeda watches inspired by the italian dolce vita,301,Andrea Spallino,"1,750",Andrea Spallino,756,"1,890","31,900","28,800",2
kickstart my career futuristic fiction collection,2,Demandt Designs,8,Tias Bastian Demandt Schink,4,9,"6,490,000","1,610,000","9,310,000"
archivo gurrola,995,Edwarda Gurrola,"22,300",Rosa Maria Vivanco De Gurrola,"13,600","24,900","7,930","7,230",1
the human incubator a new musical,91,The Human Incubator,"3,310",Drew Vanderburg,"3,060","3,280","115,000","324,000","1,370"
rememorex,"3,340",Nerdy City,"2,310",Sean Jaffe,"10,400","3,160",133,236,0
crucible space station map posters and miniature,4,Ryan Wolfe,"159,000",Ryan Wolfe,"489,000","159,000",5,5,8
the component collector,"9,140",Dog Might Games,"36,000",Michael Cameron,"216,000","40,700","633,000","1,420,000","235,000"
finders keepers,"472,000",Dean Stuart,"238,000",Dean Stuart,"47,800","470,000","327,000","1,020,000","25,100"
the push stars are making a brand new album,97,The Push Stars,"90,200",Ryan MacMillan,"9,170","88,500","2,840,000","734,000","177,000"
knives,"43,300,000",Gnomic Book,"1,170",Jason Koxvold,"9,460","142,000,000","1,530,000","2,390,000","376,000"
beachsheetz the worlds best outdoor accessory,336,Austin Wright,"226,000",Austin Wright,"202,000","226,000",191,390,3
fifty high season shane lynam,8,Shane Lynam,"43,000",Shane Patrick Lynam,"77,700","42,700","10,700","15,500",4
earstudio worlds first studio quality bluetooth re,538,Radsone,"43,300",Claire Chang,"50,100","45,300","10,100","30,000",167
everyday performance shorts,318,Manaslu Athletics,"1,210",Austin Darnell,"8,350","2,510","205,000","477,000","18,900,000"
the 2017 procedural generation jam,132,Michael Cook,"409,000",Michael Thomas R Cook,"29,800,000","410,000",9,"158,000",112
keansburg mural project,373,DrSketchy Asbury Park,154,Timothy  Lucas ,"30,200",852,"8,720",9,4
amplified existence original illustration prints,4,Isaac,"199,000,000",isaac prior,"5,480","200,000,000","238,000","327,000",962
advanced ability checks supplement,4,This Mind of Mind Label,1,Zach Fenoff,148,4,"297,000","596,000","2,070"
the contractors create final character concept art,8,John L.,"25,600,000",John Layman,"281,000","25,700,000","1,140,000","446,000","1,360"
inbox short film,"14,800",B Welby Delimere,904,Annabel Chloe Emck,"17,500","62,300","295,000","748,000","4,980"
making love a short film conceived by peter rollin,103,Peter Rollins,"90,300",Peter Rollins,"63,600","92,900","61,900","172,000",52
neutral a short film by nathan barnatt,330,Nathan Barnatt,"124,000",Nathan Barnatt,"85,000","124,000","3,850","4,860",0
colour contrast watercolour book,61,M J Forster,"53,500",Matthew John Forster,813,"54,500","1,730,000","906,000",224
the well read black girl writers conference and fe,125,Glory Edim,"30,300",Glory Edim,"11,000","30,100","289,000","259,000",125
adorable wonder woman chibi sticker,183,Melanie Collins,"84,900",Melanie Collins,"58,700","85,300","303,000","1,260,000",58
cosplay deviants 2018 calendar,200,CosplayDeviants,"248,000",Troy Doerner,"5,230","236,000","21,000","50,500",0
aweful words a book of illustrated words and defin,4,Aweful Words,"211,000",Richelle Clementson,386,"212,000","712,000","4,570,000","3,700"
keep going a coming of age novel set in the apocal,4,Cara Compass,"1,460",Cara Anne Dickens,"503,000","1,470","268,000","756,000","9,990"
then now childhood revisited an art book for the a,94,Bob Rissetto,"7,550",Robert Rissetto,408,"7,590","991,000","948,000","14,100"
la mariposa borracha,"9,310",Shanice Nicole Stanislaus,"1,450",N/A Shanice Nicole Stanislaus,"8,260","2,300","14,600","7,780",6
fund a new t 34 book,69,francis pulham,"1,110",Francis Edward Pulham,2,"1,120","1,560,000","1,020,000","6,570,000"
storyhack action and adventure issue 1,364,Bryce Beattie,"5,120",Bryce Beattie,"34,500","35,600","33,100","41,100",79
jewellery for the journey,"59,600",Carma & Connection,"7,010,000",Isla Catherine Daw,7,"5,620","624,000","1,590,000","38,800"
lucy fancypants pigeon a story for children of all,9,Kyra Richter,"2,440",Kyra Richter,"7,530","2,490","8,200","17,100",3
12 realms dungeonland 0,440,MAGE Company,"337,000",Marc Specter,"29,100","273,000","1,010,000","54,300",8
carcosa a lovecraftian board game of cults and mad,474,One Free Elephant,"28,200",Sarah Kennington,"8,490","28,100","15,700","53,700",213
elemenz the duelling dice game of alien shamans,74,BadCat Games,"6,320",Justin Morgan Davies,406,"6,760","14,900","16,200",7
mauritius by theresa rebeck,"5,250",Richard Cornally,546,Richard Cornally,532,"2,090","9,860","14,700",48
stranded photos text sound,6,David P Haight,"1,770",David Haight,"22,100","1,780","292,000","1,500,000","7,570"
exchimp,"12,000",Stefan Ponsold,"9,210",Stefan Ponsold,"9,110","19,900",81,"2,530",0
sunnybag smartbattery,365,Stefan Ponsold,"9,210",Stefan Ponsold,"9,110","3,510",65,593,1
figments long sleeve fashion and truth,4,Parker Berryhill,862,James Berryhill,"12,700",833,6,7,329
dfy360 rfid blocking wallet crazy affordable price,192,Dfywallets,"1,200",Ronald Roach,"10,300","1,140",19,163,0
stories of norse gods and heroes,"7,880",Terran Empire Publishing,"5,250",Robert Buckley,"502,000","9,240","262,000","173,000","5,400"
grandfather thunder and the night horses,303,Christine Almstrom,"4,480",Christine Almstrom,"7,090","3,900","160,000","527,000",279
super retro sourcebook volume 2 by higher grounds,5,Raymond,"269,000,000",Raymond Machuga,228,"270,000,000","78,100","134,000",4
madcap screwball cartoon role play for tabletop,130,Sanguine Productions LLC,"16,800",Jason Holmgren,"7,200","16,500","4,130","8,510",1
tournament of towers draft pieces build grand towe,193,Iron Hippo Games,924,Jeffrey James,"560,000",988,"469,000","203,000",38
kitchen rush,"38,000",Artipia Games,"152,000",Konstantinos Panagopoulos,"31,600","179,000","912,000","766,000","151,000"
lending library,"1,940,000",James Smith,"2,150,000",James Smith,"832,000","8,130,000","2,040,000","649,000","2,540,000"
minemikomalis sketchbook i,81,MinemikoMali Sketchbook,128,Mali Benedicto Vasanserekul,580,143,289,"1,430",0
the heirs of avalon,9,Béatrice Mary,"542,000",Beatrice Mary Clement Ep. Leroy,"131,000",6,"129,000","154,000",271
handmade energy bars with 100 recyclable packaging,8,Garuka Bars,"2,080",Michael Rosenberg,"190,000","2,020","508,000","618,000","23,000"
runaway arab,135,Amrou Al Kadhi,"32,800",Amrou Al Kadhi,"31,500","35,700","121,000","272,000",252
patrick carroll on glow in the dark vinyl,123,Steven Leaf,"2,220",Steven Leaf,"5,960","2,280","181,000","1,810,000",25
fron tera bilingual literary magazine revista lite,4,fron//tera Revista Literaria Bilingüe,"9,260",Michael Shymanski,"1,320",4,5,9,13
willis judd forged carbon automatic watches,184,Willis Judd Watches,"2,320",Daniel William Roy,"3,610",794,"121,000","100,000",7
101 cats a collection of illustrations volume 1,153,Art of Helenasia,787,Helen Merete Simm,332,783,"833,000","1,020,000","4,710"
sherlock holmes hexalogy,289,Thornwillow,"69,800",Luke Pontifell,"1,400","68,100",408,627,3
fellman watch co,"2,290",Tyler Fellman,482,Tyler Fellman,239,843,5,"26,700",74
flex eboard rough stuff electric longboard,301,Slick Revolution,"124,000",Robert Simpson,"435,000","121,000","6,560","17,100",15
harem wars card game,497,Dharker Studio,"184,000",Adam Jamie Tilley,182,"180,000","175,000","115,000","8,060"
freeplay zero freeplay cm3 by freeplaytech,"2,710",Ed Mandy,"19,400",Edward Mandy,"5,010","20,600",113,394,0
mixers modular jewelry that evolves with you,155,Sparklepop,"101,000",Megan Cummins,"14,900","101,000","75,000","152,000",34
samsara the worlds first aluminum smart suitcase,"2,990",Samsara Luggage,"2,600",Atara Dzikowski,529,"3,020","11,000","25,700",9
broken leg productions,481,Adam Schuler,"7,370",Adam Schuler,"14,200","15,200","633,000","1,280,000","1,650"
dogs that cant even,"2,900",Ryan Merlini,362,Ryan Merlini,169,"2,910","953,000","1,710,000","54,700"
kamarg classic rucksack re introduced,204,Franz Drack,"1,380",Franz Drack,"2,350","1,480","17,100",5,3
anima obscvra enamel pins sachiel pre order,8,Tracy Graves,"30,300",Tracy Dillon,"10,500","30,400",19,105,0
sweet n spiky cute enamel pins,52,Kristine Byun,"1,270",Kristine Byun,508,"1,310","426,000","2,530,000",118
